grid_x,grid_y,police_count,center_lon,center_lat
1411097,417467,1,126.99877500000001,37.572075000000005
1411113,416963,1,127.00021500000001,37.526715
1411126,417622,1,127.00138500000001,37.586025
1411128,417108,1,127.00156500000001,37.539765
1411129,417452,1,127.00165500000001,37.570725
1411154,417405,1,127.003905,37.566495
1411160,416471,1,127.004445,37.482435
1411164,417319,1,127.004805,37.558755000000005
1411165,417477,1,127.004895,37.572975
1411168,416619,1,127.005165,37.495755
1411168,416732,1,127.005165,37.505925000000005
1411178,417539,1,127.006065,37.578555
1411181,417012,1,127.006335,37.531125
1411206,417956,1,127.00858500000001,37.616085000000005
1411228,417510,1,127.01056500000001,37.575945000000004
1411230,417828,1,127.01074500000001,37.604565
1411248,417246,1,127.012365,37.552185
1411248,417748,1,127.012365,37.597365
1411248,418215,1,127.012365,37.639395
1411253,418482,1,127.012815,37.663425000000004
1411260,417391,1,127.013445,37.565235
1411260,417624,1,127.013445,37.586205
1411261,417538,1,127.013535,37.578465
1411266,416833,1,127.013985,37.515015000000005
1411270,417153,1,127.014345,37.543815
1411281,417820,1,127.01533500000001,37.603845
1411286,418268,1,127.01578500000001,37.644165
1411289,416178,1,127.01605500000001,37.456065
1411293,417389,1,127.01641500000001,37.565055
1411294,417663,1,127.01650500000001,37.589715000000005
1411295,417630,1,127.01659500000001,37.586745
1411297,416503,1,127.01677500000001,37.485315
1411301,417474,1,127.01713500000001,37.572705
1411301,418232,1,127.01713500000001,37.640925
1411306,418118,1,127.01758500000001,37.630665
1411313,418053,1,127.01821500000001,37.624815000000005
1411325,417895,1,127.01929500000001,37.610595
1411328,417275,1,127.01956500000001,37.554795000000006
1411379,416870,1,127.02415500000001,37.518345000000004
1411389,417821,1,127.02505500000001,37.603935
1411395,418305,1,127.02559500000001,37.647495
1411406,418270,1,127.02658500000001,37.644345
1411410,418078,1,127.02694500000001,37.627065
1411412,416353,1,127.02712500000001,37.471815
1411412,418192,1,127.02712500000001,37.637325000000004
1411413,418427,1,127.02721500000001,37.658475
1411425,418001,1,127.02829500000001,37.620135000000005
1411431,417304,1,127.02883500000002,37.557405
1411433,416528,1,127.029015,37.487565000000004
1411436,416820,1,127.029285,37.513845
1411444,417219,1,127.030005,37.549755000000005
1411449,417959,1,127.030455,37.616355000000006
1411451,417006,1,127.030635,37.530585
1411451,418476,1,127.030635,37.662885
1411456,416536,1,127.031085,37.488285000000005
1411458,417779,1,127.031265,37.600155
1411469,417803,1,127.032255,37.602315000000004
1411471,417827,1,127.032435,37.604475
1411473,418177,1,127.032615,37.635975
1411474,417407,1,127.032705,37.566675000000004
1411487,416835,1,127.03387500000001,37.515195000000006
1411495,418261,1,127.03459500000001,37.643535
1411507,416992,1,127.03567500000001,37.529325
1411515,417352,1,127.03639500000001,37.561725
1411524,417476,1,127.03720500000001,37.572885
1411531,416494,1,127.037835,37.484505000000006
1411533,418417,1,127.038015,37.657575
1411555,418494,1,127.039995,37.664505000000005
1411566,416759,1,127.040985,37.508355
1411575,417335,1,127.04179500000001,37.560195
1411578,417617,1,127.04206500000001,37.585575000000006
1411592,416803,1,127.04332500000001,37.512315
1411593,418660,1,127.04341500000001,37.679445
1411596,416681,1,127.04368500000001,37.501335000000005
1411603,417181,1,127.04431500000001,37.546335
1411614,417601,1,127.04530500000001,37.584135
1411619,417612,1,127.04575500000001,37.585125000000005
1411643,417512,1,127.047915,37.576125000000005
1411645,418040,1,127.048095,37.623645
1411658,418711,1,127.049265,37.684035
1411678,417458,1,127.05106500000001,37.571265000000004
1411679,416441,1,127.05115500000001,37.479735000000005
1411682,417889,1,127.05142500000001,37.610055
1411686,417386,1,127.05178500000001,37.564785
1411686,418358,1,127.05178500000001,37.652265
1411687,417678,1,127.05187500000001,37.591065
1411691,417089,1,127.05223500000001,37.538055
1411692,418374,1,127.05232500000001,37.653705
1411701,416902,1,127.05313500000001,37.521225
1411708,417993,1,127.05376500000001,37.619415000000004
1411713,417626,1,127.05421500000001,37.586385
1411722,418663,1,127.05502500000001,37.679715
1411724,417876,1,127.05520500000002,37.608885
1411725,417202,1,127.055295,37.548225
1411742,417385,1,127.056825,37.564695
1411746,416808,1,127.057185,37.512765
1411769,418152,1,127.05925500000001,37.633725000000005
1411783,416832,1,127.06051500000001,37.514925000000005
1411794,416648,1,127.06150500000001,37.498365
1411806,416609,1,127.06258500000001,37.494855
1411818,417057,1,127.06366500000001,37.535175
1411818,418495,1,127.06366500000001,37.664595000000006
1411832,416166,1,127.064925,37.454985
1411833,417440,1,127.065015,37.569645
1411854,418388,1,127.066905,37.654965000000004
1411856,416768,1,127.067085,37.509165
1411866,417607,1,127.06798500000001,37.584675000000004
1411867,417738,1,127.06807500000001,37.596465
1411870,418244,1,127.06834500000001,37.642005000000005
1411903,417182,1,127.07131500000001,37.546425
1411903,418246,1,127.07131500000001,37.642185000000005
1411906,417042,1,127.07158500000001,37.533825
1411913,417755,1,127.07221500000001,37.597995000000004
1411916,418147,1,127.07248500000001,37.633275000000005
1411920,417680,1,127.072845,37.591245
1411925,417420,1,127.073295,37.567845000000005
1411937,417519,1,127.074375,37.576755000000006
1411940,418028,1,127.074645,37.622565
1411954,418523,1,127.075905,37.667115
1411965,417073,1,127.07689500000001,37.536615000000005
1411968,416595,1,127.07716500000001,37.493595
1411970,418360,1,127.07734500000001,37.652445
1412001,417431,1,127.08013500000001,37.568835
1412005,417558,1,127.08049500000001,37.580265000000004
1412016,417336,1,127.08148500000001,37.560285
1412017,417940,1,127.08157500000002,37.614645
1412024,416801,1,127.082205,37.512135
1412030,417374,1,127.082745,37.563705000000006
1412037,416582,1,127.083375,37.492425000000004
1412043,417143,1,127.083915,37.542915
1412046,417591,1,127.084185,37.583235
1412052,416986,1,127.084725,37.528785
1412080,417392,1,127.08724500000001,37.565325
1412120,417174,1,127.090845,37.545705000000005
1412141,416696,1,127.092735,37.502685
